Institute,Program,Quota,Category,Gender,Opening_Rank,Closing_Rank
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,7709,22860
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,363,689
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,3228,3824
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS (PwD),Gender-Neutral,184,184
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,6079,8953
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Gender-Neutral,480,599
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,2935,5865
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC (PwD),Gender-Neutral,79,79
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,663,2664
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Electronics and Communication Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,23430,29433
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Electronics and Communication Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,1333,1974
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Electronics and Communication Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,4177,4757
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Electronics and Communication Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,8656,11090
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Electronics and Communication Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Gender-Neutral,843,843
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Electronics and Communication Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,5879,6997
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Electronics and Communication Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,1863,3218
